Sl.No.,Slide No,State,District,Slide Name,NH SH Location,Latitude,Longitude,Material Involved,Movement Type,History,latitude_valid,longitude_valid,latitude_missing,longitude_missing,latitude_invalid,longitude_invalid,missing_coordinates,coordinate_status,suspicious_coordinates,valid_coordinate_rows,state_missing,district_missing,state_district_status,material_missing,movement_type_missing,history_missing,event_date,event_date_start,event_date_end,event_time,date_status,date_precision,date_parse_notes,landslide,event_quality
163,AS/DH/83C16/2018/002,Assam,Dima Hasao,Jatinga Lampur landslide.,"Between Jatinga Lampur
Railway Station and Harangajao
Railway Station.",25.146306,93.942167,Debris,Slide,14 June 2018,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,2018-06-14,2018-06-14,2018-06-14,,exact_date,day,Exact calendar date parsed from source text: 14 June 2018.,1,reliable
164,ASM/DH/83G4/2016/02,Assam,Dima Hasao,New Haflong R. S slide(1),"West slope of New Haflong
Railway Station.",25.146778,93.030972,Rock cum Debris,Slide,2016,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2016,2016,,year_only,year,Year-only value preserved as-is: 2016.,1,limited_date_precision
165,ASM/DH/83G4/2016/43,Assam,Dima Hasao,New Haflong R.S. slide - (2),New Haflong Railway Station,25.148722,93.031917,Debris,Slide,2016,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2016,2016,,year_only,year,Year-only value preserved as-is: 2016.,1,limited_date_precision
167,ASM/DH/83G4/2016/15,Assam,Dima Hasao,Boro Haflong-1,"Near Boro Haflong village,
Haflong",25.150694,93.025833,Debris,Slide,2016,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2016,2016,,year_only,year,Year-only value preserved as-is: 2016.,1,limited_date_precision
168,AS/DIM/83G4/2015/41,Assam,Dima Hasao,Pura slide.-2,Near Pura village,25.155,93.067,Earth,Slide,2014,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2014,2014,,year_only,year,Year-only value preserved as-is: 2014.,1,limited_date_precision
169,AS/DIM/83G4/2015/42,Assam,Dima Hasao,"Pura,NH-54",Pura,25.155,93.067,Earth,Slide,2014,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2014,2014,,year_only,year,Year-only value preserved as-is: 2014.,1,limited_date_precision
170,AS/DIM/83G4/2015/26,Assam,Dima Hasao,Pura slide.,"NH-54,Near Pura village",25.155,93.073,Earth,Slide,2014,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2014,2014,,year_only,year,Year-only value preserved as-is: 2014.,1,limited_date_precision
171,ASM/DH/83G4/2016/25,Assam,Dima Hasao,Mahadev Tila slide-2,Haflong town,25.155611,93.022222,Debris,Slide,2016,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2016,2016,,year_only,year,Year-only value preserved as-is: 2016.,1,limited_date_precision
172,ASM/DH/83G4/2016/24,Assam,Dima Hasao,Mahadev Tilla-1,"Mahadev Tilla, Haflong",25.155722,93.022778,Earth,Slide,2016,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2016,2016,,year_only,year,Year-only value preserved as-is: 2016.,1,limited_date_precision
173,AS/DIM/83G4/2015/57,Assam,Dima Hasao,Bara Haflong,"Bara Haflong,Near New Haflong
RS",25.156,93.018,Earth,Slide,2014,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2014,2014,,year_only,year,Year-only value preserved as-is: 2014.,1,limited_date_precision
174,ASM/DH/83G4/2016/27,Assam,Dima Hasao,Haflong-Jatinga road section slide-02,Haflong town,25.156389,93.018389,Rock cum Debris,Slide,2016,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2016,2016,,year_only,year,Year-only value preserved as-is: 2016.,1,limited_date_precision
175,ASM/DH/83G4/2016/26,Assam,Dima Hasao,Haflong-Jatinga road section slide-01,Haflong town,25.156583,93.019611,Rock cum Debris,Slide,2016,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2016,2016,,year_only,year,Year-only value preserved as-is: 2016.,1,limited_date_precision
176,ASM/DH/83G4/2016/06,Assam,Dima Hasao,G. C. Langthasa High school slide,"Near Mahadev Tila, Haflong",25.156694,93.017667,Debris,Slide,1998,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,1998,1998,,year_only,year,Year-only value preserved as-is: 1998.,1,limited_date_precision
177,AS/DIM/83G4/2015/64,Assam,Dima Hasao,Pura Sinking Zone village,Pura village on NH-54,25.157,93.062,Earth,Slide,2014,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2014,2014,,year_only,year,Year-only value preserved as-is: 2014.,1,limited_date_precision
178,AS/DIM/83G4/2015/43,Assam,Dima Hasao,Pura-4,"Pura,NH-54",25.157,93.066,Earth,Slide,2014,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2014,2014,,year_only,year,Year-only value preserved as-is: 2014.,1,limited_date_precision
179,ASM/DH/83G4/2016/29,Assam,Dima Hasao,Haflong-Jatinga road section slide-04,Haflong town,25.157139,93.017194,Debris,Slide,2016,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2016,2016,,year_only,year,Year-only value preserved as-is: 2016.,1,limited_date_precision
180,ASM/DH/83G4/2016/28,Assam,Dima Hasao,Haflong-Jatinga road section slide-03,Haflong town,25.157361,93.016083,Rock cum Debris,Slide,2016,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2016,2016,,year_only,year,Year-only value preserved as-is: 2016.,1,limited_date_precision
181,ASM/DH/83G4/2016/30,Assam,Dima Hasao,Gadhi Rojai Slide,Haflong town,25.159333,93.017,Earth,Slide,2016,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2016,2016,,year_only,year,Year-only value preserved as-is: 2016.,1,limited_date_precision
182,ASM/DH/83G4/2016/14,Assam,Dima Hasao,Songpiang-2,"Songpiang village, Haflong",25.163444,93.023167,Debris,Slide,2016,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2016,2016,,year_only,year,Year-only value preserved as-is: 2016.,1,limited_date_precision
183,ASM/DH/83G4/2016/42,Assam,Dima Hasao,96 km Migrendisa slide,"96 km, Migrendisa – Haflong rail
section, near Diyung bridge.",25.164,93.040194,Debris,Slide,2016,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2016,2016,,year_only,year,Year-only value preserved as-is: 2016.,1,limited_date_precision
184,ASM/DH/83G4/2016/13,Assam,Dima Hasao,Songpiang-1,"Songpiang village, Haflong",25.165639,93.025444,Debris,Slide,2016,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2016,2016,,year_only,year,Year-only value preserved as-is: 2016.,1,limited_date_precision
189,ASM/DH/83G4/2016/12,Assam,Dima Hasao,"Huonveng, N.D Raji-3","N.D Raji (Hmar)village, Haflong",25.171889,93.003944,Debris,Slide,2016,True,True,False,False,False,False,False,valid,False,True,False,False,valid,False,False,False,,2016,2016,,year_only,year,Year-only value preserved as-is: 2016.,1,limited_date_precision
