Latitude,Longitude,landslide
24.09,94.02,1
24.09,94.02,1
24.09,94.02,1
24.09,94.15,1
24.09,94.15,1
24.09,94.03,1
24.09,94.04,1
24.09,94.03,1
24.09,94.04,1
24.09,94.04,1
24.09,94.04,1
24.09,94.02,1
24.09,94.04,1
24.09,94.02,1
24.09,94.03,1
24.1,93.96,1
24.1,93.9,1
24.1,93.95,1
24.1,94.04,1
24.1,94.02,1
24.1,94.03,1
24.1,94.03,1
24.1,94.03,1
24.1,94.03,1
24.1,94.03,1
24.1,94.04,1
24.1,94.07,1
24.11,93.91,1
24.11,94.13,1
24.11,94.02,1
24.12,94.13,1
24.12,94.07,1
24.12,94.05,1
24.12,94.02,1
24.12,94.07,1
24.12,94.07,1
24.12,94.07,1
24.13,93.99,1
24.13,94.0,1
24.13,94.13,1
24.13,94.12,1
24.13,94.12,1
24.13,94.11,1
24.13,94.11,1
24.13,94.07,1
24.13,94.07,1
24.13,94.07,1
24.13,94.06,1
24.14,93.93,1
24.14,94.07,1
24.14,94.01,1
24.15,94.1,1
24.15,94.1,1
24.15,94.1,1
24.15,94.08,1
24.15,94.1,1
24.15,94.1,1
24.16,93.97,1
24.16,93.96,1
24.16,93.95,1
24.16,93.95,1
24.16,93.95,1
24.17,93.93,1
24.18,93.9,1
24.18,93.99,1
24.18,94.07,1
24.19,93.97,1
24.19,93.97,1
24.19,94.11,1
24.19,94.02,1
24.19,94.2,1
24.19,94.19,1
24.19,94.01,1
24.2,94.1,1
24.2,94.1,1
24.2,94.2,1
24.2,94.2,1
24.21,94.22,1
24.22,93.88,1
24.22,94.24,1
24.22,94.09,1
24.22,94.09,1
24.22,94.11,1
24.22,94.07,1
24.22,94.08,1
24.22,94.08,1
24.22,94.08,1
24.22,94.09,1
24.22,94.26,1
24.23,93.93,1
24.23,93.94,1
24.24,93.85,1
24.24,94.08,1
24.25,94.08,1
24.25,94.07,1
24.25806,94.28722,1
24.3225,94.23361,1
24.34,94.22444,1
24.40639,94.06583,1
24.5,93.12,1
24.52,93.09,1
24.52,93.09,1
24.52,93.11,1
24.549944,93.668361,1
24.791389,93.735417,1
24.792333,93.658222,1
24.794722,93.655778,1
24.8133,93.5472,1
24.813306,93.243417,1
24.813889,93.245222,1
24.81722,93.51722,1
24.8175,93.54908,1
24.81778,93.51583,1
24.81867,93.54819,1
24.82058,94.137,1
24.82375,93.523861,1
24.83,93.9,1
24.83278,93.46333,1
24.836194,93.481992,1
24.84,93.91,1
24.84833,93.45917,1
24.84833,93.45917,1
24.85536111,93.62402778,1
24.862444,93.610639,1
24.86269444,93.62405556,1
24.90139,93.45389,1
24.9252,94.3371,1
24.983194,93.500417,1
24.983528,94.158333,1
24.983806,93.497528,1
24.985167,93.508306,1
24.98575,93.497389,1
24.98611,93.50583,1
24.98722,93.50361,1
24.98722,93.50361,1
24.99083,93.50583,1
24.99083,93.50583,1
24.992889,94.230583,1
24.99306,93.4975,1
24.994278,94.205917,1
24.99694,93.50222,1
24.997972,94.020444,1
25.016375,94.021711,1
25.028456,94.015522,1
25.038753,94.152236,1
25.042333,94.241111,1
25.044111,94.233778,1
25.047833,92.789306,1
25.080161,94.114939,1
25.085833,94.107222,1
25.086525,94.078197,1
25.091778,92.354694,1
25.11,93.37,1
25.11,93.37,1
25.13109,93.97215,1
25.146528,93.941722,1
25.173056,94.136261,1
25.188578,94.139278,1
25.200853,94.134506,1
25.201083,93.140806,1
25.218022,94.107603,1
25.2375,94.113889,1
25.238611,94.009189,1
25.240539,94.114492,1
25.245869,94.014442,1
25.257919,94.091564,1
25.261617,94.079422,1
25.262947,94.079353,1
25.265492,94.098872,1
25.265578,94.064836,1
25.268942,94.044694,1
25.279389,94.032194,1
25.286369,94.036492,1
25.289833,94.036647,1
25.297797,94.044722,1
25.304917,94.011444,1
25.318206,94.091428,1
25.318628,94.092053,1
25.332489,94.080258,1
25.335364,94.169247,1
25.337239,94.039708,1
25.337428,94.184525,1
25.338556,94.158806,1
25.339872,94.168736,1
25.340433,94.166631,1
25.340833,94.160528,1
25.342472,94.161667,1
25.344389,94.199722,1
25.350061,94.220711,1
25.350764,94.222161,1
